City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Kloulklubed,PW,84.25,broken clouds,7.0419,134.2556,Storyboard Beach Resort
272,Takoradi,GH,74.1,light rain,4.8845,-1.7554,Raybow International Hotel
273,Meulaboh,ID,84.11,overcast clouds,4.1363,96.1285,Kost Pria
274,Santa Cruz Cabralia,BR,73.63,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
275,Abnub,EG,89.8,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
280,Tandalti,SD,81.86,broken clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
281,Labuhan,ID,86.83,moderate rain,-6.8844,112.2051,DoubleFAG
283,Niamey,NE,75.49,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
284,Waingapu,ID,86.49,heavy intensity rain,-9.6567,120.2641,Pondok Wisata Elim
291,Podor,MR,83.64,scattered clouds,16.6527,-14.9587,Auberge Du Tékrour
292,Changping,CN,80.24,overcast clouds,40.2186,116.2197,Huachang Hotel
294,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
300,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
301,Gamboma,CG,75.47,broken clouds,-1.8764,15.8644,Residence N'Keni
304,Carauari,BR,72.79,overcast clouds,-4.8828,-66.8958,Hotel Fellip
307,Maningrida,AU,87.96,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
309,Gotsu,JP,75.47,clear sky,35.0,132.2167,Yurusato
313,Chabahar,IR,82.42,clear sky,25.2919,60.643,هتل گدروشیا
317,Grand-Santi,GF,70.5,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
319,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,Le four à pain
320,Banfora,BF,71.24,overcast clouds,10.6333,-4.7667,Residences David Hebié
321,Dingle,PH,87.04,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
327,Songkhla,TH,86.05,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
328,Inirida,CO,71.92,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
330,Sibolga,ID,81.07,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
332,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
336,Quatre Cocos,MU,76.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
339,Guerrero Negro,MX,70.03,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
341,Diu,IN,85.24,clear sky,20.7141,70.9822,Hotel Relax Inn
344,Fare,PF,78.04,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
346,Puerto Santander,CO,78.21,overcast clouds,8.3636,-72.4063,Hotel Toronto
353,Pangkalanbuun,ID,87.58,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
358,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
359,Sabang,ID,81.46,overcast clouds,5.8933,95.3214,Hotel Citra
364,Fuerte,PH,84.94,clear sky,17.5381,120.3644,Giordion Inn
365,Touros,BR,73.54,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
368,Caravelas,BR,70.05,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
370,Simpang,ID,89.83,light rain,-1.2667,104.0833,Budidaya Pembesaran Ikan
371,Asyut,EG,89.67,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
376,Cockburn Town,TC,82.42,few clouds,21.4612,-71.1419,Osprey Beach Hotel
380,Isangel,VU,78.22,few clouds,-19.55,169.2667,Tanna Lodge
382,Wuda,CN,80.42,clear sky,39.4994,106.7117,Grape Sightseeing Garden
384,Lazaro Cardenas,MX,78.17,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
385,Manggar,ID,84.94,scattered clouds,-2.8833,108.2667,Guest Hotel
386,Dong Hoi,VN,81.05,moderate rain,17.4833,106.6,Nam Long Hotel
388,Boyolangu,ID,81.81,light rain,-8.1181,111.8935,Yos ega cv
392,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
396,Isla Aguada,MX,78.89,broken clouds,18.7833,-91.4667,Freedom Shores
402,Doha,QA,87.78,clear sky,25.2867,51.5333,Mövenpick Doha
403,Cizre,TR,87.24,clear sky,37.3272,42.1903,Divan Cizre Hotel
404,Dalbandin,PK,88.9,clear sky,28.8947,64.4101,Sanjrani House
405,Pundaguitan,PH,83.89,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
407,Palapye,BW,74.35,clear sky,-22.546,27.1251,Belle vue Bed & Breakfast
408,Ishigaki,JP,82.67,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
412,Wad Rawah,SD,85.77,broken clouds,15.1603,33.1397,حوش جلي ودراوة
